#rank, id, view_count
1, 121, 1529
2, 119, 849
3, 120, 703
4, 118, 669
5, 59, 585
6, 75, 493
7, 1, 467
8, 11, 465
9, 109, 432
10, 64, 393
11, 58, 378
12, 113, 364
13, 57, 361
14, 61, 331
15, 56, 329
16, 63, 284
17, 108, 283
18, 62, 256
19, 23, 242
20, 72, 240
21, 112, 234
22, 67, 214
23, 76, 206
24, 60, 204
25, 10, 199
26, 2, 196
27, 68, 196
28, 73, 192
29, 111, 191
30, 77, 184
31, 7, 181
32, 74, 178
33, 65, 174
34, 69, 169
35, 89, 165
36, 55, 164
37, 100, 164
38, 107, 164
39, 126, 162
40, 66, 161
41, 3, 160
42, 22, 160
43, 9, 159
44, 16, 156
45, 6, 154
46, 129, 154
47, 79, 153
48, 8, 150
49, 87, 150
50, 110, 149
51, 49, 148
52, 82, 148
53, 5, 146
54, 14, 146
55, 102, 145
56, 4, 144
57, 106, 144
58, 21, 142
59, 71, 142
60, 124, 140
61, 18, 138
62, 50, 138
63, 103, 136
64, 52, 135
65, 70, 134
66, 105, 133
67, 54, 132
68, 51, 130
69, 78, 130
70, 88, 130
71, 19, 129
72, 46, 128
73, 13, 127
74, 104, 126
75, 15, 125
76, 20, 125
77, 17, 124
78, 101, 118
79, 80, 117
80, 12, 116
81, 81, 116
82, 90, 116
83, 53, 115
84, 95, 115
85, 99, 115
86, 45, 113
87, 24, 112
88, 48, 112
89, 94, 112
90, 47, 110
91, 83, 109
92, 38, 108
93, 84, 108
94, 97, 108
95, 33, 107
96, 43, 107
97, 85, 107
98, 86, 106
99, 42, 105
100, 34, 103
101, 31, 102
102, 32, 102
103, 98, 102
104, 28, 100
105, 26, 99
106, 39, 99
107, 44, 99
108, 91, 99
109, 25, 98
110, 36, 98
111, 122, 98
112, 35, 96
113, 37, 95
114, 40, 94
115, 41, 94
116, 92, 93
117, 27, 92
118, 30, 92
119, 29, 91
120, 96, 91
121, 93, 86
122, 128, 72
123, 162, 67
124, 163, 66
125, 127, 64
126, 137, 54
127, 160, 41
128, 139, 39
129, 161, 39
130, 167, 33
131, 134, 31
132, 147, 31
133, 130, 30
134, 136, 27
135, 138, 27
136, 140, 27
137, 141, 27
138, 133, 25
139, 135, 24
140, 159, 23
141, 144, 21
142, 145, 21
143, 146, 20
144, 158, 18
145, 131, 14
146, 132, 14
147, 165, 14
148, 164, 11
149, 166, 11
150, 179, 11
151, 176, 5
152, 173, 4
153, 174, 4
154, 175, 4
155, 177, 4
156, 178, 4
157, 170, 3
158, 172, 3
159, 171, 2
160, 168, 1
161, 169, 1
