rank, id, view_count
1, 121, 709
2, 119, 482
3, 1, 348
4, 118, 296
5, 120, 291
6, 11, 200
7, 59, 198
8, 75, 166
9, 117, 151
10, 113, 140
11, 57, 135
12, 61, 129
13, 109, 128
14, 58, 114
15, 2, 111
16, 115, 104
17, 23, 102
18, 63, 102
19, 114, 102
20, 116, 102
21, 64, 101
22, 56, 99
23, 112, 96
24, 62, 93
25, 68, 89
26, 3, 85
27, 108, 85
28, 60, 81
29, 7, 80
30, 10, 80
31, 67, 78
32, 4, 77
33, 76, 76
34, 74, 74
35, 5, 72
36, 6, 70
37, 9, 68
38, 73, 68
39, 55, 66
40, 65, 66
41, 8, 65
42, 89, 65
43, 22, 64
44, 66, 64
45, 111, 64
46, 107, 63
47, 14, 62
48, 69, 61
49, 100, 61
50, 103, 61
51, 95, 60
52, 18, 59
53, 19, 59
54, 21, 59
55, 87, 59
56, 102, 59
57, 110, 59
58, 16, 58
59, 17, 58
60, 77, 58
61, 15, 57
62, 20, 57
63, 49, 57
64, 46, 56
65, 50, 56
66, 51, 56
67, 52, 56
68, 54, 56
69, 104, 56
70, 70, 55
71, 72, 55
72, 101, 55
73, 106, 55
74, 105, 54
75, 71, 53
76, 53, 52
77, 88, 52
78, 12, 51
79, 47, 51
80, 48, 51
81, 82, 51
82, 83, 49
83, 79, 48
84, 86, 48
85, 13, 47
86, 80, 47
87, 81, 47
88, 85, 47
89, 90, 47
90, 78, 46
91, 99, 46
92, 84, 45
93, 92, 45
94, 24, 44
95, 32, 44
96, 97, 44
97, 98, 44
98, 43, 43
99, 91, 43
100, 25, 42
101, 31, 42
102, 37, 42
103, 39, 42
104, 44, 42
105, 93, 42
106, 94, 42
107, 96, 42
108, 27, 41
109, 28, 41
110, 35, 41
111, 41, 41
112, 42, 41
113, 26, 40
114, 29, 40
115, 30, 40
116, 33, 40
117, 38, 40
118, 40, 40
119, 45, 40
120, 34, 39
121, 36, 39
